StateClassID,DistributionType,StateAttributeTypeID
Wetland: Estuarine Emergent,Wetland: Estuarine Emergent Net Growth,Net Growth
Wetland: Palustrine Emergent,Wetland: Palustrine Emergent Net Growth,Net Growth
