Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Agriculture: Pasture,,,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0,,,,,
,,,,,Agriculture: Pasture,,,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0,,,,,
,,,,,Agriculture: Pasture,,,Net Growth Forest: Atmosphere -> Foliage [Type],,0,,,,,
,,,,,Agriculture: Pasture,,,Net Growth Forest: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Agriculture: Pasture,,,Net Growth Forest: Atmosphere -> Other Wood [Type],,0,,,,,
,,,,,Agriculture: Pasture,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Agriculture: Pasture,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Agriculture: Pasture,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Developed: High Intensity,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Decay: AG Fast -> AG Slow [Type],,0,,,,,
,,,,,Developed: High Intensity,,,Decay: AG Medium -> AG Slow [Type],,0,,,,,
