River ID,Site ID,Microtopography,Depth,Replicate,Sampling Event,Percent Mass Remaining
1,3,NA,25,2,T3,82.35178102
1,3,NA,50,2,T3,63.70117494
1,4,NA,10,1,T3,94.11981017
1,4,NA,25,1,T3,87.88731603
1,4,NA,50,1,T3,91.62028252
1,4,NA,10,2,T3,100
1,4,NA,25,2,T3,91.11488451
1,4,NA,50,2,T3,96.48219312
2,1,O,10,1,T3,.
2,1,O,25,1,T3,87.06396658
2,1,O,50,1,T3,90.64890438
2,1,O,10,2,T3,86.52147984
2,1,O,25,2,T3,89.65120254
2,1,O,50,2,T3,78.83575121
2,1,U,10,1,T3,91.16311382
2,1,U,25,1,T3,82.0603018
2,1,U,50,1,T3,89.41171064
2,1,U,10,2,T3,83.95453587
2,1,U,25,2,T3,86.74289063
2,1,U,50,2,T3,87.14497864
2,2,NA,10,1,T3,79.42015594
2,2,NA,25,1,T3,70.14819781
2,2,NA,50,1,T3,64.75236652
2,2,NA,10,2,T3,91.84317608
2,2,NA,25,2,T3,76.92074772
2,2,NA,50,2,T3,44.38738579
2,3,NA,10,1,T3,91.99169894
2,3,NA,25,1,T3,77.08434025
2,3,NA,50,1,T3,92.32652241
2,3,NA,10,2,T3,90.99170206
2,3,NA,25,2,T3,91.74542501
2,3,NA,50,2,T3,93.99609579
2,4,NA,10,1,T3,97.08183731
2,4,NA,25,1,T3,92.41808848
2,4,NA,50,1,T3,91.15877983
2,4,NA,10,2,T3,97.24608876
2,4,NA,25,2,T3,100
2,4,NA,50,2,T3,95.24394473
1,1,O,10,1,T4,96.30736007
1,1,O,25,1,T4,62.03924464
1,1,O,50,1,T4,84.08924106
1,1,O,10,2,T4,84.31230586
1,1,O,25,2,T4,72.10092599
1,1,O,50,2,T4,78.7450297
1,1,U,10,1,T4,88.12847791
1,1,U,25,1,T4,65.91940691
1,1,U,50,1,T4,79.91758233
1,1,U,10,2,T4,85.06774407
1,1,U,25,2,T4,69.96407708
1,1,U,50,2,T4,73.91083539
1,2,NA,10,1,T4,68.06387704
1,2,NA,25,1,T4,85.89948223
1,2,NA,50,1,T4,87.54830885
1,2,NA,10,2,T4,74.41896579
1,2,NA,25,2,T4,88.07773353
1,2,NA,50,2,T4,98.34854116
1,3,NA,10,1,T4,55.32528869
1,3,NA,25,1,T4,83.90063664
1,3,NA,50,1,T4,56.94779055
1,3,NA,10,2,T4,94.81017583
1,3,NA,25,2,T4,72.83276457
1,3,NA,50,2,T4,67.50179139
1,4,NA,10,1,T4,.
1,4,NA,25,1,T4,.
1,4,NA,50,1,T4,.
1,4,NA,10,2,T4,.
1,4,NA,25,2,T4,.
1,4,NA,50,2,T4,.
2,1,O,10,1,T4,86.67422961
2,1,O,25,1,T4,87.12365073
2,1,O,50,1,T4,84.63728964
2,1,O,10,2,T4,89.72979517
2,1,O,25,2,T4,84.6567214
2,1,O,50,2,T4,87.56194697
2,1,U,10,1,T4,89.74670443
2,1,U,25,1,T4,89.2625881
2,1,U,50,1,T4,83.35988082
2,1,U,10,2,T4,91.22305828
2,1,U,25,2,T4,81.97227488
2,1,U,50,2,T4,84.05569113
2,2,NA,10,1,T4,94.97435681
2,2,NA,25,1,T4,77.12964009
2,2,NA,50,1,T4,67.60661985
2,2,NA,10,2,T4,88.96505015
2,2,NA,25,2,T4,90.18425786
2,2,NA,50,2,T4,53.64236585
2,3,NA,10,1,T4,86.79204097
2,3,NA,25,1,T4,81.84391861
2,3,NA,50,1,T4,92.18906477
2,3,NA,10,2,T4,100
2,3,NA,25,2,T4,97.79520942
2,3,NA,50,2,T4,91.01827393
2,4,NA,10,1,T4,96.35573412
2,4,NA,25,1,T4,85.50081688
2,4,NA,50,1,T4,88.43734834
2,4,NA,10,2,T4,87.32535364
2,4,NA,25,2,T4,100
2,4,NA,50,2,T4,100
1,1,O,10,1,T5,81.3881279
