Site ID,Basin ID,Wetland Type,Plot,Sampling Event,Bag ID,Mass Remaining (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,2,T4,17,29.683882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,3,T4,22,32.99650099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,1,T4,98,26.63232085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,2,T4,100,31.71340864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,3,T4,105,24.55423421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,1,T4,25,27.54251256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,2,T4,31,41.83079315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,3,T4,35,30.01703518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,1,T4,123,20.18435981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,2,T4,124,18.91774309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,3,T4,128,31.99159691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,1,T4,207,29.04453303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,2,T4,210,31.4559795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,3,T4,215,28.61583144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,1,T4,73,40.43007405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,2,T4,77,47.80139104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,3,T4,80,48.44590417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,1,T4,84,43.86963537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,2,T4,88,50.3718878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,3,T4,95,37.10764869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,1,T4,156,38.91135453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,2,T4,162,43.48781395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,3,T4,165,39.1733636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,1,T4,230,27.29758799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,2,T4,232,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,3,T4,237,48.0674919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,1,T4,243,46.02693252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,2,T4,245,55.88984663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,3,T4,250,62.89628834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,1,T4,39,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,2,T4,40,14.41954864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,3,T4,47,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,1,T4,182,16.61486118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,2,T4,184,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,3,T4,191,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,1,T4,109,25.65052843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,2,T4,112,28.87735397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,3,T4,117,19.84921161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,1,T4,170,13.88562428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,2,T4,174,18.04037801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,3,T4,179,15.03364834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
