Site ID,Basin ID,Wetland Type,Plot,Sampling Event,Bag ID,Mass Remaining (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,3,T1,238,88.63623927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,1,T1,242,88.65843558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,2,T1,244,89.03570552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,3,T1,248,88.28116564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,1,T1,288,61.50770803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,2,T1,43,54.51298796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,3,T1,45,52.70781983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,1,T1,180,52.20515034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,2,T1,187,63.14862936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,3,T1,188,57.1164404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,1,T1,108,77.32283232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,2,T1,114,80.29582313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,3,T1,119,79.74087517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,1,T1,171,52.53576747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,2,T1,172,54.83181558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,3,T1,177,50.56772623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,1,T2,267,65.56000614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,2,T2,269,70.34739353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,3,T2,275,69.25935094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,1,T2,134,77.55763032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,2,T2,139,73.04641126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,3,T2,140,68.58219498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,1,T2,276,66.06281476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,2,T2,283,72.03349065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,3,T2,286,71.87065403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,1,T2,194,69.66936788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,2,T2,196,71.75928815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,3,T2,201,72.13440205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,1,T2,253,63.71033374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,2,T2,259,63.71033374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,3,T2,262,66.64804873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,1,T2,216,65.8314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,2,T2,223,66.2634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,3,T2,227,64.2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,1,T2,145,80.27855292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,2,T2,149,70.78741025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,3,T2,152,68.38140919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,1,T2,51,45.51943289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,2,T2,55,41.79982707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,3,T2,57,49.05622695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,1,T2,61,78.86446318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,2,T2,66,74.61180384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,3,T2,70,73.38653047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,1,T2,4,63.18141689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,2,T2,8,68.1627378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,3,T2,12,75.07890535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,1,T2,15,64.70658381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,2,T2,19,70.60861836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,3,T2,23,67.8124504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,1,T2,97,66.87367508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,2,T2,101,79.28502676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,3,T2,106,75.65201156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,1,T2,27,78.49078141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,2,T2,30,80.05080653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,3,T2,33,76.1776407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,1,T2,120,68.25420873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,2,T2,127,73.16867783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,3,T2,129,76.28549619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,1,T2,204,74.70661162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,2,T2,211,79.58309226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,3,T2,213,65.11441344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,1,T2,74,76.37785741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,2,T2,78,81.58999227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,3,T2,83,77.36197589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,1,T2,87,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,2,T2,89,80.48763304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,3,T2,92,77.9719676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,1,T2,157,72.52830578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,2,T2,160,78.29816517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,3,T2,164,76.89910615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,1,T2,229,75.90995269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,2,T2,234,85.68560992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,3,T2,239,81.52052414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,1,T2,240,82.04752532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,2,T2,247,83.65152454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,3,T2,251,91.73588037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,1,T2,37,43.64426304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,2,T2,41,32.78699556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
