Wetland Subclass LUCAS,FoliageStock,RootStock,AGVFStock,BGVFStock,BGSStock,FoliageNPP,RootNPP,BGVFPercentLoss,Burial210Pb TC.g.m.2,TotalLatTrans_Amount,MethaneFlux,AGVFPercentLoss,TotalNPP_Amount,SedimentTransport_Amount,FoliageGrowth_PropTotalNPP,RootGrowth_PropTotalNPP,FoliageMaxStock,FoliageMortality_PropMaxStock,FoliageMortality_Amount,RootMaxStock,RootMortality_PropMaxStock,RootMortality_Amount,AGVFMaxStock,AGVFOut_PropMaxStock,AGVFOut_Amount,AGVFStabilization_PropOut,AGVFStabilization_Amount,AGVFStabilization_PropMaxStock,BGVFMaxStock,BGVFOut_PropMaxStock,BGVFOut_Amount,BGVFStabilization_PropOut,BGVFStabilization_Amount,BGVFStabilization_PropMaxStock,BGSDeposition,BGSIn_Amount,BGSMaxStock,BGSOut_PropMaxStock,BGSOut_Amount,TotalOut_Amount,AGVFOut_PropOut,BGVFOut_PropOut,BGSOut_PropOut,TotalMaxStock,AGVFMaxStock_PropMaxStock,BGVFMaxStock_PropMaxStock,BGSMaxStock_PropMaxStock,BGSStabilization_PropOut,BGSStabilization_Amount,BGSStabilization_PropMaxStock,TotalStabilization_Amount,AGVFEmissionLatTrans_Amount,BGVFEmissionLatTrans_Amount,BGSEmissionLatTrans_Amount,TotalEmissionLatTrans_Amount,TotalLatTrans_PropEmissionLatTrans,AGVFLatTrans_Amount,BGVFLatTrans_Amount,BGSLatTrans_Amount,AGVFLatTrans_PropMaxStock,BGVFLatTrans_PropMaxStock,BGSLatTrans_PropMaxStock,AGVFLatTrans_PropOut,BGVFLatTrans_PropOut,BGSLatTrans_PropOut,AGVFEmission_Amount,BGVFEmission_Amount,BGSEmission_Amount,AGVFEmission_PropMaxStock,BGVFEmission_PropMaxStock,BGSEmission_PropMaxStock,AGVFEmission_PropOut,BGVFEmission_PropOut,BGSEmission_PropOut,outAGVFCheck,outBGVFCheck,outBGSCheck,massBalanceCheck,checkAGVFratio,checkBGVFratio,checkBGSratio,checkpropAGVF
Wetland: Estuarine Emergent,121.8979,346.2283,322.5003,1550.5783,50283.3343,510.7023,2207.9244,0.4578,317.9384,217.8,9.6667,0.7204,2718.6267,0,0.1879,0.8121,632.6003,0.8073,510.7023,2554.1526,0.8644,2207.9244,833.2027,0.6129,510.7023,0.2796,142.7872,0.1714,3758.5027,0.5874,2207.9244,0.5422,1269.8609,0.3379,0,1412.648,51695.9823,0.0273,1412.648,4131.2748,0.1236,0.5344,0.3419,56287.6877,0.0148,0.0668,0.9184,0.2251,317.9384,0.0062,1730.5864,367.9152,938.0635,1094.7097,2400.6883,0.0907,33.3787,85.1049,99.3164,0.0401,0.0226,0.0019,0.0654,0.0385,0.0703,334.5364,852.9586,995.3932,0.4015,0.2269,0.0193,0.6551,0.3863,0.7046,0,0,0,0,10.0224,10.0224,10.0224,0.0044
Wetland: Palustrine Emergent,33.1102,433.926,293.7123,1016.7665,56633.008,393.8391,2304.3995,0.4489,185.9869,82.4,14.5,0.6356,2698.2386,0,0.146,0.854,426.9493,0.9224,393.8391,2738.3255,0.8415,2304.3995,687.5515,0.5728,393.8391,0.3644,143.5045,0.2087,3321.166,0.6939,2304.3995,0.5511,1269.8609,0.3824,0,1413.3654,58046.3734,0.0243,1413.3654,4111.604,0.0958,0.5605,0.3438,62055.0909,0.0111,0.0535,0.9354,0.1316,185.9869,0.0032,1599.3523,250.3346,1034.5386,1227.3785,2512.2517,0.0328,8.2108,33.9321,40.2571,0.0119,0.0102,7e-4,0.0208,0.0147,0.0285,242.1239,1000.6065,1187.1214,0.3522,0.3013,0.0205,0.6148,0.4342,0.8399,0,0,0,0,29.4885,29.4885,29.4885,0.0035
