Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Developed:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.3205,,,,,
,,,,,Developed:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.15,,,,,
,,,,,Developed:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,,,,Developed:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Developed:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Developed:All,,,Decay: AG Fast -> AG Slow [Type],,0.0435,,,,,
,,,,,Developed:All,,,Decay: AG Medium -> AG Slow [Type],,0.0113,,,,,
,,,,,Developed:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.1479,,,,,
,,,,,Developed:All,,,Decay: BG Fast -> BG Slow [Type],,0.0435,,,,,
,,,,,Developed:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.1514,,,,,
,,,,,Developed:All,,,Decay: Snag Branch -> AG Slow [Type],,0.0217,,,,,
,,,,,Developed:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0057,,,,,
,,,,,Developed:All,,,Emission: AG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Developed:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0553,,,,,
,,,,,Developed:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0338,,,,,
,,,,,Developed:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.6516,,,,,
,,,,,Developed:All,,,Emission: BG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Developed:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.7393,,,,,
,,,,,Developed:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.1061,,,,,
,,,,,Developed:All,,,Emission: Snag Stem -> Atmosphere [Type],,0.0276,,,,,
,,,,,Developed:All,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
